id,sis_id,pre_confidence_level_combined,pre_iso_ortho_text,pre_iso_ortho_num,pre_ortho_iso_text,pre_ortho_iso_num,post_confidence_level_combined,post_iso_ortho_text,post_iso_ortho_num,post_ortho_iso_text,post_ortho_iso_num,participated_in_treatment
248887,963755846,"Disagree,Agree",Disagree,2,Agree,4,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
259322,296964694,"Disagree,Disagree",Disagree,2,Disagree,2,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
251944,537314220,"Disagree,Disagree",Disagree,2,Disagree,2,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
267144,757495668,"Disagree,Disagree",Disagree,2,Disagree,2,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
259708,326738111,"Disagree,Disagree",Disagree,2,Disagree,2,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
250203,581087950,"Disagree,Disagree",Disagree,2,Disagree,2,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
242173,104076327,"Neutral,Neutral",Neutral,3,Neutral,3,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
257927,620609500,"Strongly disagree,Strongly disagree",Strongly disagree,1,Strongly disagree,1,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
257990,316953934,"Strongly disagree,Strongly disagree",Strongly disagree,1,Strongly disagree,1,"Disagree,Disagree",Disagree,2,Disagree,2,TRUE
249902,552716754,"Disagree,Neutral",Disagree,2,Neutral,3,"Disagree,Neutral",Disagree,2,Neutral,3,TRUE
215530,246668993,"Neutral,Disagree",Neutral,3,Disagree,2,"Disagree,Neutral",Disagree,2,Neutral,3,TRUE
261121,631156441,"Neutral,Neutral",Neutral,3,Neutral,3,"Disagree,Neutral",Disagree,2,Neutral,3,TRUE
280853,726338176,"Neutral,Neutral",Neutral,3,Neutral,3,"Disagree,Neutral",Disagree,2,Neutral,3,TRUE
258396,951614208,"Agree,Agree",Agree,4,Agree,4,"Disagree,Strongly agree",Disagree,2,Strongly agree,5,TRUE
248483,254100150,"Agree,Agree",Agree,4,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
253529,207695913,"Agree,Agree",Agree,4,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
256869,220335998,"Agree,Agree",Agree,4,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
252820,544975983,"Agree,Agree",Agree,4,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
238267,803755257,"Agree,Agree",Agree,4,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
179856,106390643,"Agree,Agree",Agree,4,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
263322,712485402,"Agree,Neutral",Agree,4,Neutral,3,"Neutral,Agree",Neutral,3,Agree,4,TRUE
209117,358769887,"Agree,Strongly agree",Agree,4,Strongly agree,5,"Neutral,Agree",Neutral,3,Agree,4,TRUE
265109,746982364,"Disagree,Agree",Disagree,2,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
269129,572796819,"Disagree,Disagree",Disagree,2,Disagree,2,"Neutral,Agree",Neutral,3,Agree,4,TRUE
167625,462145775,"Disagree,Disagree",Disagree,2,Disagree,2,"Neutral,Agree",Neutral,3,Agree,4,TRUE
261031,654476806,"Disagree,Neutral",Disagree,2,Neutral,3,"Neutral,Agree",Neutral,3,Agree,4,TRUE
213909,899903137,"Disagree,Neutral",Disagree,2,Neutral,3,"Neutral,Agree",Neutral,3,Agree,4,TRUE
256718,955395465,"Disagree,Strongly agree",Disagree,2,Strongly agree,5,"Neutral,Agree",Neutral,3,Agree,4,TRUE
226913,857973452,"Neutral,Agree",Neutral,3,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
257308,472821159,"Neutral,Agree",Neutral,3,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
252850,786833945,"Neutral,Agree",Neutral,3,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
270606,409750028,"Neutral,Agree",Neutral,3,Agree,4,"Neutral,Agree",Neutral,3,Agree,4,TRUE
252263,936672199,"Neutral,Disagree",Neutral,3,Disagree,2,"Neutral,Agree",Neutral,3,Agree,4,TRUE
262311,501299719,"Neutral,Disagree",Neutral,3,Disagree,2,"Neutral,Agree",Neutral,3,Agree,4,TRUE
257936,510674795,"Neutral,Neutral",Neutral,3,Neutral,3,"Neutral,Agree",Neutral,3,Agree,4,TRUE
255033,621693315,"Neutral,Neutral",Neutral,3,Neutral,3,"Neutral,Agree",Neutral,3,Agree,4,TRUE
258450,101835914,"Neutral,Neutral",Neutral,3,Neutral,3,"Neutral,Agree",Neutral,3,Agree,4,TRUE
232706,583753793,"Strongly agree,Strongly agree",Strongly agree,5,Strongly agree,5,"Neutral,Agree",Neutral,3,Agree,4,TRUE
169962,261170747,"Disagree,Disagree",Disagree,2,Disagree,2,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
260315,921461081,"Neutral,Neutral",Neutral,3,Neutral,3,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
142387,603019837,"Strongly disagree,Agree",Strongly disagree,1,Agree,4,"Neutral,Disagree",Neutral,3,Disagree,2,TRUE
252724,463955243,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
261683,984536298,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
286465,707007988,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
245478,293245571,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
248146,819823090,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
249755,337275773,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
258426,915512348,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
201936,736595416,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
259789,462490210,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
245844,774904494,"Agree,Agree",Agree,4,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
256555,226468951,"Agree,Disagree",Agree,4,Disagree,2,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
234819,236153830,"Agree,Neutral",Agree,4,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
251929,309166967,"Agree,Neutral",Agree,4,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
193692,679253697,"Agree,Neutral",Agree,4,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
257755,392120104,"Agree,Neutral",Agree,4,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
254530,295898111,"Agree,Neutral",Agree,4,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
268444,533323197,"Agree,Neutral",Agree,4,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
256371,294286017,"Agree,Neutral",Agree,4,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
268292,669607076,"Disagree,Disagree",Disagree,2,Disagree,2,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
253013,537164680,"Disagree,Disagree",Disagree,2,Disagree,2,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
258191,498962224,"Disagree,Disagree",Disagree,2,Disagree,2,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
245101,726519129,"Disagree,Neutral",Disagree,2,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
243752,267826815,"Neutral,Agree",Neutral,3,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
258348,563173118,"Neutral,Agree",Neutral,3,Agree,4,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
244961,237423070,"Neutral,Disagree",Neutral,3,Disagree,2,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
247267,948100454,"Neutral,Disagree",Neutral,3,Disagree,2,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
234832,273946928,"Neutral,Neutral",Neutral,3,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
275907,649911679,"Neutral,Neutral",Neutral,3,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
253823,461376061,"Neutral,Neutral",Neutral,3,Neutral,3,"Neutral,Neutral",Neutral,3,Neutral,3,TRUE
